"id","gender","overallei_allitems","perceptions","own","others","utilization","sincerity","fairness","greedavoidance","modesty","fearfulness","anxiety","dependence","sentimentality","socialselfesteem","socialboldness","sociability","liveliness","forgiveness","gentleness","flexibility","patience","organization","diligence","perfectionism","prudence","aestheticappreciation","inquisitiveness","creativity","unconventionality"
578,"female",3.3030303030303,4.3,4.88888888888889,4,4,4.75,4.875,4.5,4.75,2.875,1.375,2.625,2.75,5,4.5,3.125,4.75,4.25,3.75,4.375,3.75,3.875,3.125,3.375,3.625,3,3.125,3.875,4.375
1132,"female",3.51515151515152,5,5,4.75,4.83333333333333,4.375,5,3.75,4.75,1.25,2.625,2.75,4.25,5,5,4.875,4.625,4,4.5,3.75,4.75,3,4.75,3.625,4.125,4.875,4.625,4.75,4.625
131,"male",3.06060606060606,3.7,3.55555555555556,3.625,3.83333333333333,3.625,4.625,3.625,4.125,3.875,3.375,2.5,3.875,4.125,3.125,3.75,3.5,3.75,3.625,2.75,3.25,3.875,3.125,4.125,2.75,4.75,4.375,4,3.375
1065,"female",3.36363636363636,4,4.11111111111111,4,3.66666666666667,4,4.875,3.375,3.5,2.875,3.125,2.5,4.125,4.125,3.125,3.625,3.5,3.75,4,3,4.25,4.5,4.375,4.625,3.875,4.625,3.875,4,3.25
1014,"male",2.78787878787879,4,3.77777777777778,3.375,2.83333333333333,2.875,4.75,3.75,3.625,2.375,2,2.375,3.125,4.75,4.375,3.625,4.375,2.625,3.625,2.375,4.25,3.625,4.375,4.25,4.25,3.5,3.875,3.375,3.625
740,"female",3.09090909090909,3.9,4.11111111111111,3.625,3.83333333333333,4.625,5,4.375,4.25,2.875,2.375,2.875,3.625,4.125,3.875,4,4.25,3.5,2.875,3.25,3,3.75,3.875,3.375,4,3.625,3.25,3.5,3.25
298,"male",3.06060606060606,4.2,3.77777777777778,3.875,3.33333333333333,3.5,5,4.125,3.5,2.5,2.5,2.75,3.875,4.25,4.375,3.25,4.125,3,3,3.375,3.75,4,4.625,4,4.25,3.875,4.125,4.125,3.375
258,"male",3.24242424242424,3.9,3.55555555555556,3.625,3.5,4,4.875,3.875,4.5,2.875,3,2.875,2.875,4,3.75,2.625,3.75,3.75,2.75,3.375,3.375,4.875,4,3.625,4.25,2.125,3,3.125,4.375
79,"female",3.24242424242424,3.3,4.22222222222222,3.5,4,2.625,4.375,2.625,3.375,3.375,3.5,2.75,3.625,3.5,3.25,3.625,3.375,2.5,2.375,2.375,3.125,3.125,4,4.75,3.375,3.75,3.375,3.5,4
1206,"male",3.12121212121212,4.2,4,3.875,4,3.75,5,3.625,4.25,1.625,2.75,3,4.25,4.25,4.375,3.75,4.875,3.75,3.5,3.625,4.75,4.5,4.375,4.5,3.625,4,4.5,4.375,3.25
305,"male",3.36363636363636,2.3,3,3.375,3.33333333333333,3.5,4.5,2.75,3.125,2,4,3,3,2.375,2.75,3.125,2.875,2,2.5,2.5,2.375,3.5,3.75,4,3.25,2.125,3.25,2.75,3.625
696,"male",3.09090909090909,4,4.33333333333333,3.875,3,4.375,4.375,3.625,3.75,1.875,2,2.5,3.375,4.25,3.875,3.625,4.375,3.625,3.75,4,4.125,4.375,4.75,4.25,4,4,4.25,2.875,3.375
307,"male",3.21212121212121,4.1,4.66666666666667,3.875,3.33333333333333,3.125,4.875,4.125,2.875,2.5,2.375,2.125,3.5,4,3.375,3.25,3.875,2.5,3.125,3.625,3.75,4.75,4.375,4.625,4,5,4.5,4.625,3.75
902,"male",2.81818181818182,3.7,3.11111111111111,3.875,3.83333333333333,2.75,3.125,3,3.5,4.5,4.625,5,4.375,2.875,3.5,3.625,2.625,2.625,3,2,1.75,1.375,3.25,4,2.25,4.625,4.75,3.625,4.5
1245,"male",3.06060606060606,3.9,3.88888888888889,3.875,3.66666666666667,4.75,4.875,5,4.5,2.5,3.625,3.25,3.625,4,3.375,3.875,4,3.25,3.25,3.875,3.75,4,3.875,3.875,3.5,3.125,3.75,2.375,3.75
561,"female",3.27272727272727,3.4,3.66666666666667,3.625,3.33333333333333,3.625,3.5,3.5,3.875,2.5,4.375,2.75,3.625,4,3.625,3.5,3.5,2.75,3.25,3.5,3.5,4.375,3.875,3.875,3.5,3.25,3.25,3.625,3
136,"male",3.27272727272727,4.9,4.55555555555556,4,4,4,4.875,3.375,4.25,1.375,2,2.625,3.75,5,4.5,3.625,4.75,3.75,2.875,3.375,3.625,3.75,4.5,3.25,4,4.25,4.125,4.5,3.75
1169,"male",3.09090909090909,4,3.55555555555556,3.75,3.33333333333333,4,3.375,2.5,3.375,2.125,3,3,3.5,4,3.875,3.625,3.625,3.875,3.75,3.75,3.75,3.375,4,3.375,4.125,4,4.25,4,3.875
959,"female",3.27272727272727,3.9,4.44444444444444,3.875,4,3.875,3.875,3.375,3.5,2.5,2.875,2.75,3.75,3.75,3.5,3.375,4.375,3.375,3.875,3.25,4,3.5,3.625,3.25,3.375,4.5,4.5,4.25,4.375
123,"female",3.18181818181818,4,4,3.75,3.83333333333333,4,4.5,2.75,4.125,2.25,3.375,3.875,4.5,4.25,3.625,3.625,3.375,2.125,2.875,3.75,3.625,4,3.625,3.375,3.875,3.625,4.625,3.375,3.875
1258,"female",3.24242424242424,4,4.22222222222222,4.125,3.33333333333333,4.125,4.875,3.5,3.375,2.875,2.875,3,3.125,5,4.25,4,3.875,3.625,3.25,2.875,3.75,4.125,4.375,3.625,4.125,4.75,4.125,3.875,4.125
608,"male",3.36363636363636,3.3,3.88888888888889,3.875,3.33333333333333,3.5,3.75,4,3.625,2.5,3,2.5,3.375,4.25,2.5,3.125,3.75,3.5,3.375,2.875,2.875,2.5,3.75,3.25,3.75,4.375,4.875,3.25,3.5
495,"female",3.27272727272727,3.7,3.88888888888889,3.375,3.83333333333333,3.5,3.875,3.75,3.875,2.75,2.875,2.5,3.75,3.875,3.375,3.125,2.75,3.5,3.125,3.5,3.25,3.125,3.25,3.5,3.125,3.375,3.5,3.5,3
534,"female",3.15151515151515,3.8,4.11111111111111,4,4.5,3.75,3.25,4.5,3.5,2.375,3,4.5,3.625,4.875,4.5,4.625,4.625,2.75,2.375,2.375,2.625,4.75,4,4,2.875,4.75,2.25,3.875,4.25
803,"male",3.24242424242424,3.7,3.44444444444444,3.125,3.33333333333333,3,3,3,3,2.875,3.375,3.25,2.875,3.375,3.625,3,3.25,3.25,2.875,3.125,2.875,3.375,3.5,3.125,3.25,3.125,2.75,3.125,3.625
208,"male",2.87878787878788,2.6,3.22222222222222,3.125,3.5,4.25,4.75,4.875,4.875,1.375,2.75,2,2.875,4,2.375,1.75,2.875,3.375,4.125,3.25,4.5,3.5,2.25,2.375,4.625,4.25,4.5,2.125,4
1155,"male",3.15151515151515,3.7,3.77777777777778,3.5,2.83333333333333,4,4.25,3,3.75,2.25,2,2,3.125,3.875,3.75,3.375,4.375,3.125,2.25,3.25,3.375,4.75,3.875,3.625,4.25,3.875,4.125,3.875,3.375
854,"female",3.21212121212121,3.8,3.55555555555556,4,4,3.375,3.25,2.875,3.875,2.75,4.125,3.375,3.375,2.875,4,3.875,3,2.5,2.75,2.25,2.25,4.25,4,4,3.375,3.875,3.75,3.375,3.125
569,"male",3.48484848484848,3.1,3.44444444444444,3.625,3.33333333333333,3.5,2.375,1.375,2.875,2.625,3.375,3.125,3.5,4.25,3.75,4.5,3.5,2.125,3.375,2.625,2.625,3.625,3.375,4.125,3.375,4.5,3.875,3.625,4.125
951,"female",3.24242424242424,3.7,4.11111111111111,3.875,4.33333333333333,3.75,4.25,3.125,3.75,2.625,3.25,3.375,3.875,4.375,4.25,4.125,3.875,2,2.5,3,3,3.75,4.375,3.875,3.375,4,4.625,4.25,3.625
248,"male",3.03030303030303,3.8,3.88888888888889,4,3.5,4.25,4.875,2.625,4.125,2.5,2.625,2.5,3.875,4.75,3.875,4.25,4.375,4,2.875,3,4.125,4.375,4.125,3.75,4.25,4.5,3.875,4.25,3.625
665,"male",3.18181818181818,2.9,3.88888888888889,4,3.5,3.875,3.125,3.375,4.25,2.125,2.25,3.5,3.25,3.75,3.5,2.375,2.875,3.375,3.625,3.75,4.125,3.125,2.875,2.75,3.5,3.625,3.125,3.125,2.75
595,"male",3.24242424242424,3.5,3.66666666666667,3.5,3.5,3.5,3.5,3.125,3.125,2.5,3.375,3,2.875,3.625,3.625,3.375,3.5,2.875,3.25,3.5,2.75,3,3.625,3.25,3.25,3.5,4,3.625,3.375
434,"female",3.12121212121212,3.7,4,3.125,3.16666666666667,2.25,4,3.25,2.75,2.75,3,2.375,3.125,3.625,3,2.5,3.625,2,2,2.125,2.5,3.375,4,3.875,3.875,3.375,3.875,2.75,3.125
757,"male",3.66666666666667,4.1,4.44444444444444,3.75,4,3.5,4.75,2.375,3.125,1.375,2.75,2.625,2.875,4.5,4.375,4.125,3.875,3,3,3.375,3.375,3.125,4.5,3.5,4.375,3.625,3.5,4.25,3.625
760,"female",3.3030303030303,2.7,3.55555555555556,2.75,3.66666666666667,3.75,3.75,3.625,3.5,4,4.125,2.625,3.875,3.5,1.875,2.125,3.25,1.875,3.25,3.875,2.875,3.125,3.375,3.25,3.5,3.875,3,2.875,2.5
1242,"female",3.24242424242424,4.6,4,3.875,3.66666666666667,2.375,4.5,3.375,4.25,3.375,4.25,2.5,4.375,4.75,3,3.5,2.75,2.625,3.375,3.25,3.5,3.125,4,4.5,4.5,4.125,4.625,3.5,2.875
276,"female",3.06060606060606,3.6,3.77777777777778,3.75,4.16666666666667,3.25,3.75,3,3.5,2.875,3.5,3.625,3.875,4,3.5,3.625,3.625,2.875,2.25,2.625,2.5,2.25,3.875,2.625,3.25,3.625,4.25,4.25,3.75
169,"male",2.78787878787879,3.7,4.11111111111111,3.625,3.16666666666667,5,4.875,4.875,4.5,1.5,3.375,1.625,4.25,3.75,3.25,3,4.125,2.875,4.125,5,4.25,4.75,5,4.25,4.375,3.75,4.5,2.875,3.75
1095,"female",3.39393939393939,3.8,4.22222222222222,3.875,3.5,4.125,4.875,2.5,3.125,2.875,4,1.875,3.375,4.5,4,3.25,3.375,1.5,3.25,3.375,3.875,4.875,4.625,4.625,4.5,3.75,4.75,3,2.5
573,"male",2.90909090909091,3.6,4,4.25,3.33333333333333,3.625,4.5,2.5,2.25,1.75,1.75,1.75,3.625,5,4.5,3.5,4.875,1.5,2.25,4.25,4,5,5,3.875,4.375,3,4.75,4.375,1.875
864,"female",3.57575757575758,4.9,4.22222222222222,4.375,4.66666666666667,4.375,4.375,3,3.625,4,4.25,1.875,4.875,4.625,4,4.375,4.375,3.75,4.25,2.625,3.5,3.625,4.5,4.75,3.375,4.125,4.125,3.375,3.375
1357,"male",3.09090909090909,3.5,3.55555555555556,3.625,3.33333333333333,3.875,4.75,3.625,3.625,2.25,3.375,2.375,3.5,4.25,3.875,2.875,3.375,3.375,3.125,3.5,3.75,3.875,4,3.75,4.125,3,3.5,3.25,2.875
485,"female",3.15151515151515,4.1,3.77777777777778,3.25,3.5,3.375,4.125,3.25,3.375,1.75,3,2.125,3.375,4.625,3.125,3.375,4.625,3,2.625,3.5,3.875,3,4.125,4,4.25,3.375,3.125,4.125,3.25
460,"male",2.90909090909091,3.6,3.66666666666667,2.625,3.33333333333333,3.875,4.875,3.875,4.375,2.125,3.125,2.125,2,3.875,3.75,2.5,3.25,3.25,3.25,3.25,3.125,3.875,4.625,4.75,4.5,1.875,3.25,3.25,3.25
840,"male",3.33333333333333,4.3,4,3.625,4,2.5,3.875,2.75,2.875,2.75,2.375,3.5,3.875,5,4.25,4.125,4.5,2.875,3,3.5,4.125,4.375,4.25,4.25,4.25,3.875,3.625,3.5,3.625
60,"female",3.27272727272727,4,4.44444444444444,3.875,4.16666666666667,3.25,3.5,3.125,3.5,3,3.125,2.5,3.625,4.5,3.25,3.875,3.875,2.75,3.125,2.5,2.75,2.875,3.375,3.25,3.5,4.25,4.125,3.625,3.875
449,"female",3.09090909090909,4,4.33333333333333,3.75,3.5,3.5,4.5,3.875,4.125,3.25,3,3.5,3.5,4.125,3.875,3.875,4,3.25,3.25,3.625,3.875,4.5,4.25,3.75,4.125,3.875,4.125,3.25,3.5
548,"female",3.21212121212121,3.8,4,3.75,3.33333333333333,4,4,3.625,3.875,3.25,2.375,2.5,3.625,4.125,3.75,3.625,3.75,2.625,2.875,3,3.5,3.375,3.375,3.75,3.75,3.625,3.5,2.875,3.25
1043,"male",3.06060606060606,4.6,4.11111111111111,3.875,3.16666666666667,3.75,4.75,3.125,3.625,1.875,2.875,2.75,3,4.75,3.75,3.75,4,4.25,3.625,4.125,4.125,4,4.125,4.25,4,3.875,4.625,3.125,3.125
638,"male",3.24242424242424,3.6,3.66666666666667,3.5,3.66666666666667,3,3.625,3.25,3.25,3.25,3.75,2.875,3.75,3.875,4,3.75,3.125,2.875,2.875,3.375,2.75,3.75,3.125,2.875,3.625,3.625,3.625,2.5,3.25
319,"male",3.27272727272727,4.3,4.88888888888889,3.875,3.66666666666667,4.125,4.125,2.25,3.5,2,1.375,2.25,3.625,5,4.25,4.75,4.875,3,3.75,2.875,4.875,4.625,4.125,2.875,4.75,3.875,4,2.875,2.875
1140,"male",3.33333333333333,4.4,4.33333333333333,3.375,4.66666666666667,3.875,4.75,2.875,2.875,1.875,2,1.875,3.5,4.75,4.375,3.5,4,3,3.875,2.875,4.5,3.75,4.5,3.625,4.125,4.25,3.625,3,4.25
145,"male",3.42424242424242,4.8,4.88888888888889,4.25,4.5,3.5,4.625,3.875,3.625,2.625,1.875,3,2.875,4.75,4.125,4.25,4.875,3.25,3.125,2.25,4.125,3.75,4.625,4.25,4.25,4,4.375,4.875,3.5
102,"male",3.06060606060606,3.6,3.66666666666667,2.875,3.16666666666667,3.5,4.625,2.75,3.125,3.25,2.75,2.625,2.5,4.125,3.375,3.625,3.75,3.875,3.875,3.625,4.125,3.875,3.625,3.5,3.75,3,3.75,3.875,3.125
214,"female",3.21212121212121,4,3.66666666666667,2.75,3.83333333333333,2.5,3.25,1.875,3.625,2.375,3.25,3.625,2.375,4,3.125,2.875,3.625,2,1.625,2,1.375,3.5,4,3.375,2.75,4.125,4.625,3.5,3.625
390,"female",3.45454545454545,3.7,4,4,4.16666666666667,3.625,3.875,4.25,3.25,3,2.625,4.5,3.875,4.25,4,3.625,4,3.875,1.625,3,2.75,2.625,3.5,2.75,3,4.25,3.125,4.25,3.875
597,"female",3.54545454545455,3.8,3.33333333333333,3.625,4,3.875,4.5,2.875,4.25,3.875,4,3,4.375,2.75,3.75,3.375,3,1.375,2.25,2.5,1.875,4.25,3.375,3.25,3.25,4,3.125,4,2.875
160,"female",3.21212121212121,4.2,4.11111111111111,4.125,3.66666666666667,3.75,3.875,4.375,3.875,2.75,3.5,3.625,4.375,4.875,4.5,3.125,3.875,2,3,2.875,3.375,4.25,3.75,4,4.25,4.75,5,2.25,4.125
1101,"male",3.03030303030303,3.6,3.77777777777778,3.125,3.83333333333333,3.75,3.625,3.875,3.875,3.25,2.625,3,3,4.125,3.75,3.5,3.625,2.5,3.125,2.75,3.25,3.75,3.375,2.875,3.25,3.125,3.25,3.625,3.125
529,"female",3.18181818181818,3.8,4,3.75,3.83333333333333,4.125,4.75,3.75,4.375,3.875,3.375,3.5,3.5,4.375,4,3.375,3.625,2.375,2.75,3.125,3.625,3,3.5,3.875,3.5,3.125,2.625,2.75,3.125
126,"male",3.03030303030303,3.7,3.77777777777778,3.375,4,4.25,4.125,3.5,3.375,2.75,2.375,2.75,3.625,4,3.5,2.875,3.75,2.125,2.5,2.625,2.5,3.5,3.875,4.125,3.375,3.875,4.625,2.875,3.375
262,"male",3.15151515151515,4.3,4.22222222222222,3.625,4,3.625,4.75,4.875,4,1.75,2.5,2.125,2.625,4.625,4.375,2.125,3.75,3.5,3.625,2.625,3.5,2.125,4.125,3.125,3.75,3.125,3.875,3.375,3.625
442,"female",4.48484848484849,3.5,3.66666666666667,4.125,3.83333333333333,2.625,3,1.625,2.25,2.5,3.5,3.75,3.25,2.75,3.25,3.375,2.875,3.25,3.875,2.625,3.125,3.25,2.75,3.5,3,3,3.375,3.25,3.125
181,"female",3.45454545454545,4.3,3.55555555555556,4.25,3.83333333333333,3.5,4.875,3,4.75,3.125,3.875,3,4.625,3.25,3.125,4.75,4,2.125,1.875,3,1.875,4.25,4.125,3.75,2.75,3.75,2.875,4.25,4
976,"female",3.63636363636364,3.7,3.77777777777778,3.375,3.66666666666667,4,4.125,4.625,3.75,2.375,2.875,2,3.625,3.625,3.5,3.75,3.625,2.625,2.625,2.5,2.5,4.375,4,3.375,2.625,2.5,3.25,2.375,3.5
779,"female",3.18181818181818,2.8,3.88888888888889,3.75,4,2.5,4,2.5,2.875,2.875,3.75,3.75,3.75,3.625,3.75,4,3.125,2.25,2.375,2.25,2.625,1.875,4.5,3.75,2.5,4,4.125,3.75,3.875
828,"female",3.24242424242424,4.5,4.11111111111111,3.375,4,4.5,4.25,4.375,3.75,1.625,3.25,2.375,4.125,4.125,4,2.75,4.25,2,2.25,3.5,3.25,4.5,4.75,4.25,3.25,4.625,4.875,4.375,4.125
868,"female",3.63636363636364,3.4,4,3.5,4,3,3.875,2.875,3.125,3,2.875,2.625,3.625,3.625,3.125,3.625,3.5,3.375,3.625,3.125,3,3.625,3.125,3,3.125,3.5,3.625,3.875,3.375
163,"male",3.12121212121212,3.8,3.77777777777778,3.5,3.5,3.125,3.75,3.625,3.375,2,2.25,2.625,3.5,3.75,3.75,3.5,3.75,3.625,2.5,3.375,3.625,3.25,4,3.25,3.625,4,3.625,3.375,3.75
228,"female",3.33333333333333,4.4,4,4.375,4.5,3,4.375,3.625,4,3.125,2.625,4,4.25,4,4.5,4.375,4.75,3,2.625,2.25,3.125,4,3.5,3.625,3.125,4.375,4,3.875,3.625
789,"male",3.12121212121212,3.9,4.55555555555556,4,3.5,4.5,4.625,3.75,3.875,2,1.75,2.375,3.25,4.5,4.5,4.25,4.5,4,3.25,4.375,4.25,2.25,4.5,3,3.75,3.5,3.875,3.75,3.625
938,"male",2.60606060606061,3.4,3.44444444444444,3.125,3.33333333333333,3.875,4,4.125,4.5,2.625,3,3.25,3.125,3.125,2.5,2.5,1.875,3,3.25,4.25,3,2.5,2.625,3.5,3.625,3.75,4.5,3.5,2.875
1288,"male",3.18181818181818,3.3,3.55555555555556,3.375,3.5,3.5,4.75,3.125,4,3.5,3.75,3.125,3.875,4.125,2.75,3.25,3.625,2.25,3.125,3.25,3.125,4.75,3.75,3.375,3.75,2.125,3.125,2.5,2.75
646,"male",3.33333333333333,4.5,4.11111111111111,4.25,4.33333333333333,4,4.5,3.875,4.125,2.375,2.125,2.25,4.25,4.875,4,4.25,5,3.75,3.875,4.5,3.625,2.875,4.875,2.5,4.125,4.25,4.875,4.75,3.375
427,"male",3.21212121212121,3.8,3.88888888888889,3.375,4,3.875,3.75,3.625,4,2,3,3.125,3.25,4,2.375,3.25,3.875,2.5,3,3.25,3.125,2.25,3.5,3,3,3,3.875,3.75,3.75
1293,"female",3.42424242424242,3.6,4.44444444444444,3.875,3.33333333333333,4.625,4.875,3.5,4.25,2.875,2.75,3.125,3.875,3.875,3.375,3.625,3.875,4.375,3.875,3.125,4.125,4.25,4.25,3.75,4,3.875,3.625,2.875,2.125
1319,"female",3.3030303030303,3.8,4,3.875,3.33333333333333,3.375,4.5,2.75,3.375,3.125,2.625,1.875,3.125,4.25,3.375,3.25,3.5,2.875,2.875,3.625,3.75,4.375,4.25,4.125,4,3.125,3.875,3.625,3.375
40,"female",3.18181818181818,4.1,4.11111111111111,4.125,4,3.625,4.875,3.875,4.5,2.25,3.25,3,3.875,4.5,4.25,4.375,3.875,3.125,2.875,2.875,3.5,3.25,4.125,3.5,4.25,4.125,4.125,4,3.75
877,"male",3.03030303030303,3.8,4,3.25,4,2.875,4.5,3.375,3.625,2.5,2,2.125,3,4.75,4.125,3.375,4,3.125,2.25,3.75,4,3.875,3.5,3.75,4.125,3.625,4.375,3,3.625
1362,"male",3.45454545454545,4.3,4.44444444444444,4.375,3.66666666666667,4.875,4.875,4.625,4.25,4,3,3.5,4.25,5,4,4,4.625,4.625,4.5,4.625,4.375,5,4.5,4.5,4.875,3.875,4.625,3.875,4.125
806,"male",4.09090909090909,3,3.33333333333333,3.625,3.33333333333333,2.625,2.625,2.5,2.5,2.875,3.25,3.25,3.25,2.875,3.25,3.25,3.125,3.375,3.5,2.5,3,3.125,3,3.25,3,2.875,3.25,3.25,3.25
